device_name,attribute,unit,bmad_ele_name,bmad_factor,bmad_attribute,example_value
YCOR:UNDH:2180,BDES,kG*m,YCHX21,-1/(10.0),bl_kick,0
XCOR:UNDH:2180,BDES,kG*m,XCHX21,-1/(10.0),bl_kick,0
YCOR:UNDH:2250,BDES,kG*m,YCHU22,-1/(10.0),bl_kick,0
XCOR:UNDH:2250,BDES,kG*m,XCHU22,-1/(10.0),bl_kick,0
YCOR:UNDH:2280,BDES,kG*m,YCHX22,-1/(10.0),bl_kick,0
XCOR:UNDH:2280,BDES,kG*m,XCHX22,-1/(10.0),bl_kick,0
YCOR:UNDH:2350,BDES,kG*m,YCHU23,-1/(10.0),bl_kick,0
XCOR:UNDH:2350,BDES,kG*m,XCHU23,-1/(10.0),bl_kick,0
YCOR:UNDH:2380,BDES,kG*m,YCHX23,-1/(10.0),bl_kick,0
XCOR:UNDH:2380,BDES,kG*m,XCHX23,-1/(10.0),bl_kick,0
YCOR:UNDH:2450,BDES,kG*m,YCHU24,-1/(10.0),bl_kick,0
XCOR:UNDH:2450,BDES,kG*m,XCHU24,-1/(10.0),bl_kick,0
YCOR:UNDH:2480,BDES,kG*m,YCHX24,-1/(10.0),bl_kick,0
XCOR:UNDH:2480,BDES,kG*m,XCHX24,-1/(10.0),bl_kick,0
YCOR:UNDH:2550,BDES,kG*m,YCHU25,-1/(10.0),bl_kick,0
XCOR:UNDH:2550,BDES,kG*m,XCHU25,-1/(10.0),bl_kick,0
YCOR:UNDH:2580,BDES,kG*m,YCHX25,-1/(10.0),bl_kick,0
XCOR:UNDH:2580,BDES,kG*m,XCHX25,-1/(10.0),bl_kick,0
YCOR:UNDH:2650,BDES,kG*m,YCHU26,-1/(10.0),bl_kick,0
XCOR:UNDH:2650,BDES,kG*m,XCHU26,-1/(10.0),bl_kick,0
YCOR:UNDH:2680,BDES,kG*m,YCHX26,-1/(10.0),bl_kick,0
XCOR:UNDH:2680,BDES,kG*m,XCHX26,-1/(10.0),bl_kick,0
YCOR:UNDH:2750,BDES,kG*m,YCHU27,-1/(10.0),bl_kick,0
XCOR:UNDH:2750,BDES,kG*m,XCHU27,-1/(10.0),bl_kick,0
YCOR:UNDH:2780,BDES,kG*m,YCHX27,-1/(10.0),bl_kick,0
XCOR:UNDH:2780,BDES,kG*m,XCHX27,-1/(10.0),bl_kick,0
YCOR:UNDH:2880,BDES,kG*m,YCHX28,-1/(10.0),bl_kick,0
XCOR:UNDH:2880,BDES,kG*m,XCHX28,-1/(10.0),bl_kick,0
YCOR:UNDH:2950,BDES,kG*m,YCHU29,-1/(10.0),bl_kick,0
XCOR:UNDH:2950,BDES,kG*m,XCHU29,-1/(10.0),bl_kick,0
YCOR:UNDH:2980,BDES,kG*m,YCHX29,-1/(10.0),bl_kick,0
XCOR:UNDH:2980,BDES,kG*m,XCHX29,-1/(10.0),bl_kick,0
YCOR:UNDH:3050,BDES,kG*m,YCHU30,-1/(10.0),bl_kick,0
XCOR:UNDH:3050,BDES,kG*m,XCHU30,-1/(10.0),bl_kick,0
YCOR:UNDH:3080,BDES,kG*m,YCHX30,-1/(10.0),bl_kick,0
XCOR:UNDH:3080,BDES,kG*m,XCHX30,-1/(10.0),bl_kick,0
YCOR:UNDH:3150,BDES,kG*m,YCHU31,-1/(10.0),bl_kick,0
XCOR:UNDH:3150,BDES,kG*m,XCHU31,-1/(10.0),bl_kick,0
YCOR:UNDH:3180,BDES,kG*m,YCHX31,-1/(10.0),bl_kick,0
XCOR:UNDH:3180,BDES,kG*m,XCHX31,-1/(10.0),bl_kick,0
YCOR:UNDH:3250,BDES,kG*m,YCHU32,-1/(10.0),bl_kick,0
XCOR:UNDH:3250,BDES,kG*m,XCHU32,-1/(10.0),bl_kick,0
YCOR:UNDH:3280,BDES,kG*m,YCHX32,-1/(10.0),bl_kick,0
XCOR:UNDH:3280,BDES,kG*m,XCHX32,-1/(10.0),bl_kick,0
YCOR:UNDH:3350,BDES,kG*m,YCHU33,-1/(10.0),bl_kick,0
XCOR:UNDH:3350,BDES,kG*m,XCHU33,-1/(10.0),bl_kick,0
YCOR:UNDH:3380,BDES,kG*m,YCHX33,-1/(10.0),bl_kick,0
XCOR:UNDH:3380,BDES,kG*m,XCHX33,-1/(10.0),bl_kick,0
YCOR:UNDH:3450,BDES,kG*m,YCHU34,-1/(10.0),bl_kick,0
XCOR:UNDH:3450,BDES,kG*m,XCHU34,-1/(10.0),bl_kick,0
YCOR:UNDH:3480,BDES,kG*m,YCHX34,-1/(10.0),bl_kick,0
XCOR:UNDH:3480,BDES,kG*m,XCHX34,-1/(10.0),bl_kick,0
YCOR:UNDH:3550,BDES,kG*m,YCHU35,-1/(10.0),bl_kick,0
XCOR:UNDH:3550,BDES,kG*m,XCHU35,-1/(10.0),bl_kick,0
YCOR:UNDH:3580,BDES,kG*m,YCHX35,-1/(10.0),bl_kick,0
XCOR:UNDH:3580,BDES,kG*m,XCHX35,-1/(10.0),bl_kick,0
YCOR:UNDH:3650,BDES,kG*m,YCHU36,-1/(10.0),bl_kick,0
XCOR:UNDH:3650,BDES,kG*m,XCHU36,-1/(10.0),bl_kick,0
