device_name,attribute,unit,bmad_ele_name,bmad_factor,bmad_attribute,example_value
YCOR:LI27:803,BDES,kG-m,YC27803,-1/10.0,bl_vkick,0
XCOR:LI27:900,BDES,kG-m,XC27900,-1/10.0,bl_hkick,0
YCOR:LI27:900,BDES,kG-m,YC27900,-1/10.0,bl_vkick,0
XCOR:LI28:202,BDES,kG-m,XC28202,-1/10.0,bl_hkick,0
YCOR:LI28:203,BDES,kG-m,YC28203,-1/10.0,bl_vkick,0
XCOR:LI28:302,BDES,kG-m,XC28302,-1/10.0,bl_hkick,0
YCOR:LI28:303,BDES,kG-m,YC28303,-1/10.0,bl_vkick,0
XCOR:LI28:402,BDES,kG-m,XC28402,-1/10.0,bl_hkick,0
YCOR:LI28:403,BDES,kG-m,YC28403,-1/10.0,bl_vkick,0
XCOR:LI28:502,BDES,kG-m,XC28502,-1/10.0,bl_hkick,0
YCOR:LI28:503,BDES,kG-m,YC28503,-1/10.0,bl_vkick,0
XCOR:LI28:602,BDES,kG-m,XC28602,-1/10.0,bl_hkick,0
YCOR:LI28:603,BDES,kG-m,YC28603,-1/10.0,bl_vkick,0
XCOR:LI28:702,BDES,kG-m,XC28702,-1/10.0,bl_hkick,0
YCOR:LI28:703,BDES,kG-m,YC28703,-1/10.0,bl_vkick,0
XCOR:LI28:802,BDES,kG-m,XC28802,-1/10.0,bl_hkick,0
YCOR:LI28:803,BDES,kG-m,YC28803,-1/10.0,bl_vkick,0
XCOR:LI28:900,BDES,kG-m,XC28900,-1/10.0,bl_hkick,0
YCOR:LI28:900,BDES,kG-m,YC28900,-1/10.0,bl_vkick,0
XCOR:LI29:202,BDES,kG-m,XC29202,-1/10.0,bl_hkick,0
YCOR:LI29:203,BDES,kG-m,YC29203,-1/10.0,bl_vkick,0
XCOR:LI29:302,BDES,kG-m,XC29302,-1/10.0,bl_hkick,0
YCOR:LI29:303,BDES,kG-m,YC29303,-1/10.0,bl_vkick,0
XCOR:LI29:402,BDES,kG-m,XC29402,-1/10.0,bl_hkick,0
YCOR:LI29:403,BDES,kG-m,YC29403,-1/10.0,bl_vkick,0
XCOR:LI29:502,BDES,kG-m,XC29502,-1/10.0,bl_hkick,0
YCOR:LI29:503,BDES,kG-m,YC29503,-1/10.0,bl_vkick,0
XCOR:LI29:602,BDES,kG-m,XC29602,-1/10.0,bl_hkick,0
YCOR:LI29:603,BDES,kG-m,YC29603,-1/10.0,bl_vkick,0
XCOR:LI29:702,BDES,kG-m,XC29702,-1/10.0,bl_hkick,0
YCOR:LI29:703,BDES,kG-m,YC29703,-1/10.0,bl_vkick,0
XCOR:LI29:802,BDES,kG-m,XC29802,-1/10.0,bl_hkick,0
YCOR:LI29:803,BDES,kG-m,YC29803,-1/10.0,bl_vkick,0
XCOR:LI29:900,BDES,kG-m,XC29900,-1/10.0,bl_hkick,0
YCOR:LI29:900,BDES,kG-m,YC29900,-1/10.0,bl_vkick,0
XCOR:LI30:202,BDES,kG-m,XC30202,-1/10.0,bl_hkick,0
YCOR:LI30:203,BDES,kG-m,YC30203,-1/10.0,bl_vkick,0
XCOR:LI30:302,BDES,kG-m,XC30302,-1/10.0,bl_hkick,0
YCOR:LI30:303,BDES,kG-m,YC30303,-1/10.0,bl_vkick,0
XCOR:LI30:402,BDES,kG-m,XC30402,-1/10.0,bl_hkick,0
YCOR:LI30:403,BDES,kG-m,YC30403,-1/10.0,bl_vkick,0
XCOR:LI30:502,BDES,kG-m,XC30502,-1/10.0,bl_hkick,0
YCOR:LI30:503,BDES,kG-m,YC30503,-1/10.0,bl_vkick,0
XCOR:LI30:602,BDES,kG-m,XC30602,-1/10.0,bl_hkick,0
YCOR:LI30:603,BDES,kG-m,YC30603,-1/10.0,bl_vkick,0
XCOR:LI30:702,BDES,kG-m,XC30702,-1/10.0,bl_hkick,0
YCOR:LI30:703,BDES,kG-m,YC30703,-1/10.0,bl_vkick,0
XCOR:LI30:802,BDES,kG-m,XC30802,-1/10.0,bl_hkick,0
YCOR:LI30:803,BDES,kG-m,YC30803,-1/10.0,bl_vkick,0
YCOR:LI30:900,BDES,kG-m,YC30900,-1/10.0,bl_vkick,0
XCOR:LI30:900,BDES,kG-m,XC30900,-1/10.0,bl_hkick,0
YCOR:CLTH:133,BDES,kG-m,YCBSYQ1,-1/10.0,bl_vkick,0
XCOR:CLTH:168,BDES,kG-m,XCBSYQ2,-1/10.0,bl_hkick,0
XCOR:BSYH:452,BDES,kG-m,XCBSYQ3,-1/10.0,bl_hkick,0
YCOR:BSYH:461,BDES,kG-m,YCBSYQ4,-1/10.0,bl_vkick,0
XCOR:BSYH:642,BDES,kG-m,XCBSYQ5,-1/10.0,bl_hkick,0
YCOR:BSYH:739,BDES,kG-m,YCBSYQ6,-1/10.0,bl_vkick,0
XCOR:BSYH:900,BDES,kG-m,XCA0,-1/10.0,bl_hkick,0
YCOR:BSYH:901,BDES,kG-m,YCA0,-1/10.0,bl_vkick,0
YCOR:LTU0:105,BDES,kG-m,YCVM1,-1/10.0,bl_vkick,0
XCOR:LTU0:115,BDES,kG-m,XCVM2,-1/10.0,bl_hkick,0
YCOR:LTU0:133,BDES,kG-m,YCVB1,-1/10.0,bl_vkick,0
YCOR:LTU0:171,BDES,kG-m,YCVB3,-1/10.0,bl_vkick,0
XCOR:LTU0:178,BDES,kG-m,XCVM3,-1/10.0,bl_hkick,0
YCOR:LTU0:185,BDES,kG-m,YCVM4,-1/10.0,bl_vkick,0
XCOR:LTU1:248,BDES,kG-m,XCDL1,-1/10.0,bl_hkick,0
