device_name,attribute,unit,bmad_ele_name,bmad_factor,bmad_attribute,example_value
BPMS:LI23:201,X1H,mm,BPM23201,1/1000,x,0
BPMS:LI23:201,Y1H,mm,BPM23201,1/1000,y,0
BPMS:LI23:301,X1H,mm,BPM23301,1/1000,x,0
BPMS:LI23:301,Y1H,mm,BPM23301,1/1000,y,0
BPMS:LI23:401,X1H,mm,BPM23401,1/1000,x,0
BPMS:LI23:401,Y1H,mm,BPM23401,1/1000,y,0
BPMS:LI23:501,X1H,mm,BPM23501,1/1000,x,0
BPMS:LI23:501,Y1H,mm,BPM23501,1/1000,y,0
BPMS:LI23:601,X1H,mm,BPM23601,1/1000,x,0
BPMS:LI23:601,Y1H,mm,BPM23601,1/1000,y,0
BPMS:LI23:701,X1H,mm,BPM23701,1/1000,x,0
BPMS:LI23:701,Y1H,mm,BPM23701,1/1000,y,0
BPMS:LI23:801,X1H,mm,BPM23801,1/1000,x,0
BPMS:LI23:801,Y1H,mm,BPM23801,1/1000,y,0
BPMS:LI23:901,X1H,mm,BPM23901,1/1000,x,0
BPMS:LI23:901,Y1H,mm,BPM23901,1/1000,y,0
BPMS:LI24:201,X1H,mm,BPM24201,1/1000,x,0
BPMS:LI24:201,Y1H,mm,BPM24201,1/1000,y,0
BPMS:LI24:301,X1H,mm,BPM24301,1/1000,x,0
BPMS:LI24:301,Y1H,mm,BPM24301,1/1000,y,0
BPMS:LI24:401,X1H,mm,BPM24401,1/1000,x,0
BPMS:LI24:401,Y1H,mm,BPM24401,1/1000,y,0
BPMS:LI24:501,X1H,mm,BPM24501,1/1000,x,0
BPMS:LI24:501,Y1H,mm,BPM24501,1/1000,y,0
BPMS:LI24:601,X1H,mm,BPM24601,1/1000,x,0
BPMS:LI24:601,Y1H,mm,BPM24601,1/1000,y,0
BPMS:LI24:701,X1H,mm,BPM24701,1/1000,x,0
BPMS:LI24:701,Y1H,mm,BPM24701,1/1000,y,0
BPMS:LI24:801,X1H,mm,BPMS21,1/1000,x,0
BPMS:LI24:801,Y1H,mm,BPMS21,1/1000,y,0
BPMS:LI24:901,X1H,mm,BPM24901,1/1000,x,0
BPMS:LI24:901,Y1H,mm,BPM24901,1/1000,y,0
BPMS:LI25:201,X1H,mm,BPM25201,1/1000,x,0
BPMS:LI25:201,Y1H,mm,BPM25201,1/1000,y,0
BPMS:LI25:301,X1H,mm,BPM25301,1/1000,x,0
BPMS:LI25:301,Y1H,mm,BPM25301,1/1000,y,0
BPMS:LI25:401,X1H,mm,BPM25401,1/1000,x,0
BPMS:LI25:401,Y1H,mm,BPM25401,1/1000,y,0
BPMS:LI25:501,X1H,mm,BPM25501,1/1000,x,0
BPMS:LI25:501,Y1H,mm,BPM25501,1/1000,y,0
BPMS:LI25:601,X1H,mm,BPM25601,1/1000,x,0
BPMS:LI25:601,Y1H,mm,BPM25601,1/1000,y,0
BPMS:LI25:701,X1H,mm,BPM25701,1/1000,x,0
BPMS:LI25:701,Y1H,mm,BPM25701,1/1000,y,0
BPMS:LI25:801,X1H,mm,BPM25801,1/1000,x,0
BPMS:LI25:801,Y1H,mm,BPM25801,1/1000,y,0
BPMS:LI25:901,X1H,mm,BPM25901,1/1000,x,0
BPMS:LI25:901,Y1H,mm,BPM25901,1/1000,y,0
BPMS:LI26:201,X1H,mm,BPM26201,1/1000,x,0
BPMS:LI26:201,Y1H,mm,BPM26201,1/1000,y,0
BPMS:LI26:301,X1H,mm,BPM26301,1/1000,x,0
BPMS:LI26:301,Y1H,mm,BPM26301,1/1000,y,0
BPMS:LI26:401,X1H,mm,BPM26401,1/1000,x,0
BPMS:LI26:401,Y1H,mm,BPM26401,1/1000,y,0
BPMS:LI26:501,X1H,mm,BPM26501,1/1000,x,0
BPMS:LI26:501,Y1H,mm,BPM26501,1/1000,y,0
BPMS:LI26:601,X1H,mm,BPM26601,1/1000,x,0
BPMS:LI26:601,Y1H,mm,BPM26601,1/1000,y,0
BPMS:LI26:701,X1H,mm,BPM26701,1/1000,x,0
BPMS:LI26:701,Y1H,mm,BPM26701,1/1000,y,0
BPMS:LI26:801,X1H,mm,BPM26801,1/1000,x,0
BPMS:LI26:801,Y1H,mm,BPM26801,1/1000,y,0
BPMS:LI26:901,X1H,mm,BPM26901,1/1000,x,0
BPMS:LI26:901,Y1H,mm,BPM26901,1/1000,y,0
BPMS:LI27:201,X1H,mm,BPM27201,1/1000,x,0
BPMS:LI27:201,Y1H,mm,BPM27201,1/1000,y,0
BPMS:LI27:301,X1H,mm,BPM27301,1/1000,x,0
BPMS:LI27:301,Y1H,mm,BPM27301,1/1000,y,0
BPMS:LI27:401,X1H,mm,BPM27401,1/1000,x,0
BPMS:LI27:401,Y1H,mm,BPM27401,1/1000,y,0
BPMS:LI27:501,X1H,mm,BPM27501,1/1000,x,0
BPMS:LI27:501,Y1H,mm,BPM27501,1/1000,y,0
BPMS:LI27:601,X1H,mm,BPM27601,1/1000,x,0
BPMS:LI27:601,Y1H,mm,BPM27601,1/1000,y,0
BPMS:LI27:701,X1H,mm,BPM27701,1/1000,x,0
BPMS:LI27:701,Y1H,mm,BPM27701,1/1000,y,0
BPMS:LI27:801,X1H,mm,BPM27801,1/1000,x,0
BPMS:LI27:801,Y1H,mm,BPM27801,1/1000,y,0
BPMS:LI27:901,X1H,mm,BPM27901,1/1000,x,0
BPMS:LI27:901,Y1H,mm,BPM27901,1/1000,y,0
BPMS:LI28:201,X1H,mm,BPM28201,1/1000,x,0
BPMS:LI28:201,Y1H,mm,BPM28201,1/1000,y,0
BPMS:LI28:301,X1H,mm,BPM28301,1/1000,x,0
BPMS:LI28:301,Y1H,mm,BPM28301,1/1000,y,0
BPMS:LI28:401,X1H,mm,BPM28401,1/1000,x,0
BPMS:LI28:401,Y1H,mm,BPM28401,1/1000,y,0
BPMS:LI28:501,X1H,mm,BPM28501,1/1000,x,0
BPMS:LI28:501,Y1H,mm,BPM28501,1/1000,y,0
BPMS:LI28:601,X1H,mm,BPM28601,1/1000,x,0
BPMS:LI28:601,Y1H,mm,BPM28601,1/1000,y,0
BPMS:LI28:701,X1H,mm,BPM28701,1/1000,x,0
BPMS:LI28:701,Y1H,mm,BPM28701,1/1000,y,0
BPMS:LI28:801,X1H,mm,BPM28801,1/1000,x,0
BPMS:LI28:801,Y1H,mm,BPM28801,1/1000,y,0
BPMS:LI28:901,X1H,mm,BPM28901,1/1000,x,0
BPMS:LI28:901,Y1H,mm,BPM28901,1/1000,y,0
BPMS:LI29:201,X1H,mm,BPM29201,1/1000,x,0
BPMS:LI29:201,Y1H,mm,BPM29201,1/1000,y,0
BPMS:LI29:301,X1H,mm,BPM29301,1/1000,x,0
